"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2018","2,531.94","2,498.94","2,538.07","2,443.96","-","1.86%"
"Dec 23, 2018","2,485.74","2,400.56","2,520.27","2,346.58","-","2.86%"
"Dec 16, 2018","2,416.62","2,590.75","2,601.13","2,408.55","-","-7.05%"
"Dec 09, 2018","2,599.95","2,630.86","2,685.44","2,583.23","-","-1.26%"
"Dec 02, 2018","2,633.08","2,790.50","2,800.18","2,621.53","-","-4.60%"
"Nov 25, 2018","2,760.17","2,649.97","2,760.88","2,649.97","-","4.85%"
"Nov 18, 2018","2,632.56","2,730.74","2,733.16","2,631.09","-","-3.79%"
"Nov 11, 2018","2,736.27","2,773.93","2,775.99","2,670.75","-","-1.61%"
"Nov 04, 2018","2,781.01","2,726.37","2,815.15","2,717.94","-","2.13%"
"Oct 28, 2018","2,723.06","2,682.65","2,756.55","2,603.54","-","2.42%"
"Oct 21, 2018","2,658.69","2,773.94","2,778.94","2,628.16","-","-3.94%"
"Oct 14, 2018","2,767.78","2,763.83","2,816.94","2,749.03","-","0.02%"
"Oct 07, 2018","2,767.13","2,877.53","2,894.83","2,710.51","-","-4.10%"
"Sep 30, 2018","2,885.57","2,926.29","2,939.86","2,869.29","-","-0.97%"
"Sep 23, 2018","2,913.98","2,921.83","2,931.15","2,903.28","-","-0.54%"
"Sep 16, 2018","2,929.67","2,903.83","2,940.91","2,886.16","-","0.85%"
"Sep 09, 2018","2,904.98","2,881.39","2,908.30","2,866.78","-","1.16%"
"Sep 02, 2018","2,871.68","2,896.96","2,900.18","2,864.12","-","-1.03%"
"Aug 26, 2018","2,901.52","2,884.69","2,916.50","2,884.69","-","0.93%"
"Aug 19, 2018","2,874.69","2,853.93","2,876.16","2,850.62","-","0.86%"
"Aug 12, 2018","2,850.13","2,835.46","2,855.63","2,802.49","-","0.59%"
"Aug 05, 2018","2,833.28","2,840.29","2,863.43","2,825.81","-","-0.25%"
"Jul 29, 2018","2,840.35","2,819.00","2,840.38","2,796.34","-","0.76%"
"Jul 22, 2018","2,818.82","2,799.17","2,848.03","2,795.14","-","0.61%"
"Jul 15, 2018","2,801.83","2,801.43","2,816.76","2,789.24","-","0.02%"
"Jul 08, 2018","2,801.31","2,768.51","2,804.53","2,768.51","-","1.50%"
"Jul 01, 2018","2,759.82","2,704.95","2,764.41","2,698.95","-","1.52%"
"Jun 24, 2018","2,718.37","2,742.94","2,746.09","2,691.99","-","-1.33%"
"Jun 17, 2018","2,754.88","2,765.79","2,774.99","2,743.19","-","-0.89%"
"Jun 10, 2018","2,779.66","2,780.18","2,791.47","2,761.73","-","0.02%"
"Jun 03, 2018","2,779.03","2,741.67","2,779.90","2,739.51","-","1.62%"
"May 27, 2018","2,734.62","2,705.11","2,736.93","2,676.81","-","0.49%"
"May 20, 2018","2,721.33","2,725.95","2,742.24","2,707.38","-","0.31%"
"May 13, 2018","2,712.97","2,733.37","2,742.10","2,701.91","-","-0.54%"
"May 06, 2018","2,727.72","2,669.36","2,732.86","2,655.20","-","2.41%"
"Apr 29, 2018","2,663.42","2,675.05","2,682.92","2,594.62","-","-0.24%"
"Apr 22, 2018","2,669.91","2,675.40","2,683.55","2,612.67","-","-0.01%"
"Apr 15, 2018","2,670.14","2,670.10","2,717.49","2,660.61","-","0.52%"
