Date,SP500 Price,SP500 Change %,US10Yeild Price,US10Yeild Change %
"Dec 30, 2018","2,531.94",1.86%,2.668,-1.77%
"Dec 23, 2018","2,485.74",2.86%,2.716,-2.58%
"Dec 16, 2018","2,416.62",-7.05%,2.7880000000000003,-3.70%
"Dec 09, 2018","2,599.95",-1.26%,2.895,1.29%
"Dec 02, 2018","2,633.08",-4.60%,2.858,-4.51%
"Nov 25, 2018","2,760.17",4.85%,2.9930000000000003,-1.74%
"Nov 18, 2018","2,632.56",-3.79%,3.0460000000000003,-0.62%
"Nov 11, 2018","2,736.27",-1.61%,3.065,-3.80%
"Nov 04, 2018","2,781.01",2.13%,3.1860000000000004,-1.06%
"Oct 28, 2018","2,723.06",2.42%,3.22,4.65%
"Oct 21, 2018","2,658.69",-3.94%,3.077,-3.72%
"Oct 14, 2018","2,767.78",0.02%,3.196,0.92%
"Oct 07, 2018","2,767.13",-4.10%,3.167,-2.04%
"Sep 30, 2018","2,885.57",-0.97%,3.233,5.48%
"Sep 23, 2018","2,913.98",-0.54%,3.065,-0.07%
"Sep 16, 2018","2,929.67",0.85%,3.0669999999999997,2.27%
"Sep 09, 2018","2,904.98",1.16%,2.9989999999999997,2.04%
"Sep 02, 2018","2,871.68",-1.03%,2.9389999999999996,2.76%
"Aug 26, 2018","2,901.52",0.93%,2.86,1.67%
"Aug 19, 2018","2,874.69",0.86%,2.813,-1.78%
"Aug 12, 2018","2,850.13",0.59%,2.864,-0.31%
"Aug 05, 2018","2,833.28",-0.25%,2.873,-2.64%
"Jul 29, 2018","2,840.35",0.76%,2.951,-0.24%
"Jul 22, 2018","2,818.82",0.61%,2.958,2.18%
"Jul 15, 2018","2,801.83",0.02%,2.895,2.33%
"Jul 08, 2018","2,801.31",1.50%,2.8289999999999997,0.18%
"Jul 01, 2018","2,759.82",1.52%,2.824,-1.26%
"Jun 24, 2018","2,718.37",-1.33%,2.86,-1.21%
"Jun 17, 2018","2,754.88",-0.89%,2.895,-0.92%
"Jun 10, 2018","2,779.66",0.02%,2.9219999999999997,-0.88%
"Jun 03, 2018","2,779.03",1.62%,2.948,1.59%
"May 27, 2018","2,734.62",0.49%,2.9019999999999997,-0.99%
"May 20, 2018","2,721.33",0.31%,2.931,-4.22%
"May 13, 2018","2,712.97",-0.54%,3.06,3.03%
"May 06, 2018","2,727.72",2.41%,2.97,0.64%
"Apr 29, 2018","2,663.42",-0.24%,2.951,-0.27%
"Apr 22, 2018","2,669.91",-0.01%,2.9589999999999996,-0.03%
"Apr 15, 2018","2,670.14",0.52%,2.96,4.78%
"Apr 08, 2018","2,656.30",1.99%,2.825,1.80%
"Apr 01, 2018","2,604.47",-1.38%,2.775,1.24%
"Mar 25, 2018","2,640.87",2.03%,2.741,-2.56%
"Mar 18, 2018","2,588.26",-5.95%,2.813,-1.12%
"Mar 11, 2018","2,752.01",-1.24%,2.845,-1.76%
"Mar 04, 2018","2,786.57",3.54%,2.8960000000000004,0.98%
"Feb 25, 2018","2,691.25",-2.04%,2.8680000000000003,0.07%
"Feb 18, 2018","2,747.30",0.55%,2.866,-0.24%
"Feb 11, 2018","2,732.22",4.30%,2.873,0.56%
"Feb 04, 2018","2,619.55",-5.16%,2.8569999999999998,0.56%
"Jan 28, 2018","2,762.13",-3.85%,2.841,6.80%
"Jan 21, 2018","2,872.87",2.23%,2.66,-0.04%
"Jan 14, 2018","2,810.30",0.86%,2.661,4.35%
"Jan 07, 2018","2,786.24",1.57%,2.55,2.99%
"Dec 31, 2017","2,743.15",2.60%,2.476,2.95%
"Dec 24, 2017","2,673.61",-0.36%,2.405,-3.22%
"Dec 17, 2017","2,683.34",0.28%,2.485,5.70%
"Dec 10, 2017","2,675.81",0.92%,2.351,-1.14%
"Dec 03, 2017","2,651.50",0.35%,2.378,0.63%
"Nov 26, 2017","2,642.22",1.53%,2.363,0.98%
"Nov 19, 2017","2,602.42",0.91%,2.34,-0.21%
"Nov 12, 2017","2,578.85",-0.13%,2.345,-2.37%
"Nov 05, 2017","2,582.30",-0.21%,2.4019999999999997,2.96%
"Oct 29, 2017","2,587.84",0.26%,2.333,-3.44%
"Oct 22, 2017","2,581.07",0.23%,2.416,1.38%
"Oct 15, 2017","2,575.21",0.86%,2.383,4.75%
"Oct 08, 2017","2,553.17",0.15%,2.275,-3.64%
"Oct 01, 2017","2,549.33",1.19%,2.3609999999999998,0.94%
"Sep 24, 2017","2,519.36",0.68%,2.339,3.82%
"Sep 17, 2017","2,502.22",0.08%,2.253,2.32%
"Sep 10, 2017","2,500.23",1.58%,2.202,7.21%
"Sep 03, 2017","2,461.43",-0.61%,2.0540000000000003,-5.17%
"Aug 27, 2017","2,476.55",1.37%,2.166,-0.14%
"Aug 20, 2017","2,443.05",0.72%,2.169,-1.27%
"Aug 13, 2017","2,425.55",-0.65%,2.197,0.27%
"Aug 06, 2017","2,441.32",-1.43%,2.191,-3.22%
"Jul 30, 2017","2,476.83",0.19%,2.2640000000000002,-1.18%
"Jul 23, 2017","2,472.10",-0.02%,2.291,2.41%
"Jul 16, 2017","2,472.54",0.54%,2.237,-4.07%
"Jul 09, 2017","2,459.27",1.41%,2.332,-2.26%
"Jul 02, 2017","2,425.18",0.07%,2.386,3.56%
"Jun 25, 2017","2,423.41",-0.61%,2.3040000000000003,7.46%
"Jun 18, 2017","2,438.30",0.21%,2.144,-0.42%
"Jun 11, 2017","2,433.15",0.06%,2.153,-2.23%
"Jun 04, 2017","2,431.77",-0.30%,2.202,1.99%
"May 28, 2017","2,439.07",0.96%,2.1590000000000003,-4.04%
"May 21, 2017","2,415.82",1.43%,2.25,0.67%
"May 14, 2017","2,381.73",-0.38%,2.235,-3.91%
"May 07, 2017","2,390.90",-0.35%,2.326,-1.02%
"Apr 30, 2017","2,399.29",0.63%,2.35,2.66%
"Apr 23, 2017","2,384.20",1.51%,2.289,1.91%
"Apr 16, 2017","2,348.69",0.85%,2.246,0.63%
"Apr 09, 2017","2,328.95",-1.13%,2.2319999999999998,-6.30%
"Apr 02, 2017","2,355.54",-0.30%,2.3819999999999997,-0.29%
"Mar 26, 2017","2,362.72",0.80%,2.3890000000000002,-1.20%
"Mar 19, 2017","2,343.98",-1.44%,2.418,-3.32%
"Mar 12, 2017","2,378.25",0.24%,2.501,-2.87%
"Mar 05, 2017","2,372.60",-0.44%,2.575,3.75%
"Feb 26, 2017","2,383.12",0.67%,2.4819999999999998,7.21%
"Feb 19, 2017","2,367.34",0.69%,2.315,-4.34%
"Feb 12, 2017","2,351.16",1.51%,2.42,0.46%
"Feb 05, 2017","2,316.10",0.81%,2.4090000000000003,-2.35%
"Jan 29, 2017","2,297.42",0.12%,2.467,-0.76%
"Jan 22, 2017","2,294.69",1.03%,2.4859999999999998,0.77%
"Jan 15, 2017","2,271.31",-0.15%,2.467,2.88%
"Jan 08, 2017","2,274.64",-0.10%,2.398,-0.95%
