Date,SP500 Price,SP500 Change %,US10Yeild Price,US10Yeild Change %
"Jan 01, 2017","2,276.98",1.70%,2.421,-1.02%
"Dec 25, 2016","2,238.83",-1.10%,2.4459999999999997,-3.81%
"Dec 18, 2016","2,263.79",0.25%,2.543,-2.15%
"Dec 11, 2016","2,258.07",-0.06%,2.5989999999999998,5.39%
"Dec 04, 2016","2,259.53",3.08%,2.4659999999999997,3.09%
"Nov 27, 2016","2,191.95",-0.97%,2.392,1.40%
"Nov 20, 2016","2,213.35",1.44%,2.359,0.47%
"Nov 13, 2016","2,181.90",0.81%,2.3480000000000003,9.82%
"Nov 06, 2016","2,164.45",3.80%,2.138,20.25%
"Oct 30, 2016","2,085.18",-1.94%,1.778,-3.84%
"Oct 23, 2016","2,126.41",-0.69%,1.849,6.51%
"Oct 16, 2016","2,141.16",0.38%,1.736,-3.82%
"Oct 09, 2016","2,132.98",-0.96%,1.805,4.76%
"Oct 02, 2016","2,153.74",-0.67%,1.723,7.82%
"Sep 25, 2016","2,168.27",0.17%,1.598,-1.36%
"Sep 18, 2016","2,164.69",1.19%,1.62,-4.37%
"Sep 11, 2016","2,139.16",0.53%,1.694,1.13%
"Sep 04, 2016","2,127.81",-2.39%,1.675,4.23%
"Aug 28, 2016","2,179.98",0.50%,1.607,-1.29%
"Aug 21, 2016","2,169.04",-0.68%,1.6280000000000001,3.04%
"Aug 14, 2016","2,183.87",-0.01%,1.58,4.64%
"Aug 07, 2016","2,184.05",0.05%,1.51,-5.03%
"Jul 31, 2016","2,182.87",0.43%,1.59,9.66%
"Jul 24, 2016","2,173.60",-0.07%,1.45,-7.41%
"Jul 17, 2016","2,175.03",0.61%,1.5659999999999998,0.51%
"Jul 10, 2016","2,161.74",1.49%,1.558,14.73%
"Jul 03, 2016","2,129.90",1.28%,1.358,-6.73%
"Jun 26, 2016","2,102.95",3.22%,1.456,-6.79%
"Jun 19, 2016","2,037.41",-1.63%,1.5619999999999998,-3.04%
"Jun 12, 2016","2,071.22",-1.19%,1.611,-2.01%
"Jun 05, 2016","2,096.07",-0.15%,1.6440000000000001,-3.41%
"May 29, 2016","2,099.13",0.00%,1.702,-8.05%
"May 22, 2016","2,099.06",2.28%,1.851,0.38%
"May 15, 2016","2,052.32",0.28%,1.844,8.34%
"May 08, 2016","2,046.61",-0.51%,1.702,-4.33%
"May 01, 2016","2,057.14",-0.40%,1.7790000000000001,-3.05%
"Apr 24, 2016","2,065.30",-1.26%,1.835,-2.96%
"Apr 17, 2016","2,091.58",0.52%,1.891,7.81%
"Apr 10, 2016","2,080.73",1.62%,1.754,2.15%
"Apr 03, 2016","2,047.60",-1.21%,1.7169999999999999,-3.21%
"Mar 27, 2016","2,072.78",1.81%,1.774,-6.63%
"Mar 20, 2016","2,035.94",-0.67%,1.9,1.23%
"Mar 13, 2016","2,049.58",1.35%,1.8769999999999998,-5.20%
"Mar 06, 2016","2,022.19",1.11%,1.98,5.54%
"Feb 28, 2016","1,999.99",2.67%,1.876,6.35%
"Feb 21, 2016","1,948.05",1.58%,1.764,1.20%
"Feb 14, 2016","1,917.78",2.84%,1.743,-0.17%
"Feb 07, 2016","1,864.78",-0.81%,1.746,-5.26%
"Jan 31, 2016","1,880.05",-3.10%,1.8430000000000002,-4.16%
"Jan 24, 2016","1,940.24",1.75%,1.923,-6.51%
"Jan 17, 2016","1,906.90",1.41%,2.057,0.98%
"Jan 10, 2016","1,880.33",-2.17%,2.037,-3.73%
"Jan 03, 2016","1,922.03",-5.96%,2.116,-6.74%
"Dec 27, 2015","2,043.94",-0.83%,2.269,1.07%
"Dec 20, 2015","2,060.99",2.76%,2.245,1.86%
"Dec 13, 2015","2,005.55",-0.34%,2.204,3.38%
"Dec 06, 2015","2,012.37",-3.79%,2.1319999999999997,-6.20%
"Nov 29, 2015","2,091.69",0.08%,2.273,2.30%
"Nov 22, 2015","2,090.11",0.05%,2.222,-1.86%
"Nov 15, 2015","2,089.17",3.27%,2.2640000000000002,-0.48%
"Nov 08, 2015","2,023.04",-3.63%,2.275,-2.15%
"Nov 01, 2015","2,099.20",0.95%,2.325,8.34%
"Oct 25, 2015","2,079.36",0.20%,2.146,2.83%
"Oct 18, 2015","2,075.15",2.07%,2.0869999999999997,2.56%
"Oct 11, 2015","2,033.11",0.90%,2.035,-2.63%
"Oct 04, 2015","2,014.89",3.26%,2.09,4.97%
"Sep 27, 2015","1,951.36",1.04%,1.9909999999999999,-8.08%
"Sep 20, 2015","1,931.34",-1.36%,2.166,1.50%
"Sep 13, 2015","1,958.03",-0.15%,2.134,-2.42%
"Sep 06, 2015","1,961.05",2.07%,2.187,2.63%
"Aug 30, 2015","1,921.22",-3.40%,2.131,-2.43%
"Aug 23, 2015","1,988.87",0.91%,2.184,6.80%
"Aug 16, 2015","1,970.89",-5.77%,2.045,-7.09%
"Aug 09, 2015","2,091.54",0.67%,2.201,1.62%
"Aug 02, 2015","2,077.57",-1.25%,2.166,-0.96%
"Jul 26, 2015","2,103.84",1.16%,2.187,-3.32%
"Jul 19, 2015","2,079.65",-2.21%,2.262,-3.62%
"Jul 12, 2015","2,126.64",2.41%,2.347,-2.25%
"Jul 05, 2015","2,076.62",-0.01%,2.401,0.63%
"Jun 28, 2015","2,076.78",-1.18%,2.386,-3.56%
"Jun 21, 2015","2,101.49",-0.40%,2.474,9.42%
"Jun 14, 2015","2,109.99",0.76%,2.261,-5.40%
"Jun 07, 2015","2,094.11",0.06%,2.39,-0.79%
"May 31, 2015","2,092.83",-0.69%,2.4090000000000003,13.47%
"May 24, 2015","2,107.39",-0.88%,2.123,-4.15%
"May 17, 2015","2,126.06",0.16%,2.215,3.12%
"May 10, 2015","2,122.73",0.31%,2.148,0.28%
"May 03, 2015","2,116.10",0.37%,2.142,1.42%
"Apr 26, 2015","2,108.29",-0.44%,2.112,10.34%
"Apr 19, 2015","2,117.69",1.75%,1.9140000000000001,2.63%
"Apr 12, 2015","2,081.18",-0.99%,1.865,-4.31%
"Apr 05, 2015","2,102.06",1.70%,1.949,5.81%
"Mar 29, 2015","2,066.96",0.29%,1.8419999999999999,-6.02%
"Mar 22, 2015","2,061.02",-2.23%,1.96,1.45%
"Mar 15, 2015","2,108.10",2.66%,1.932,-8.78%
"Mar 08, 2015","2,053.40",-0.86%,2.1180000000000003,-5.74%
"Mar 01, 2015","2,071.26",-1.58%,2.247,12.58%
"Feb 22, 2015","2,104.50",-0.27%,1.996,-5.63%
"Feb 15, 2015","2,110.30",0.63%,2.115,3.32%
"Feb 08, 2015","2,096.99",2.02%,2.0469999999999997,4.55%
"Feb 01, 2015","2,055.47",3.03%,1.9580000000000002,19.46%
"Jan 25, 2015","1,994.99",-2.77%,1.639,-8.38%
"Jan 18, 2015","2,051.82",1.60%,1.7890000000000001,-2.29%
"Jan 11, 2015","2,019.42",-1.24%,1.831,-6.10%
"Jan 04, 2015","2,044.81",-0.65%,1.95,-7.76%
"Dec 28, 2014","2,058.20",-1.46%,2.114,-6.13%
"Dec 21, 2014","2,088.77",0.88%,2.252,4.26%
"Dec 14, 2014","2,070.65",3.41%,2.16,3.70%
"Dec 07, 2014","2,002.33",-3.52%,2.083,-9.71%
"Nov 30, 2014","2,075.37",0.38%,2.307,6.17%
"Nov 23, 2014","2,067.56",0.20%,2.173,-6.01%
"Nov 16, 2014","2,063.50",1.16%,2.312,-0.30%
"Nov 09, 2014","2,039.82",0.39%,2.319,0.78%
"Nov 02, 2014","2,031.92",0.69%,2.301,-1.46%
"Oct 26, 2014","2,018.05",2.72%,2.335,3.05%
"Oct 19, 2014","1,964.58",4.12%,2.266,3.05%
"Oct 12, 2014","1,886.76",-1.02%,2.199,-3.81%
"Oct 05, 2014","1,906.13",-3.14%,2.286,-6.16%
"Sep 28, 2014","1,967.90",-0.75%,2.436,-3.64%
"Sep 21, 2014","1,982.85",-1.37%,2.528,-1.94%
"Sep 14, 2014","2,010.40",1.25%,2.5780000000000003,-1.19%
"Sep 07, 2014","1,985.54",-1.10%,2.609,6.10%
"Aug 31, 2014","2,007.71",0.22%,2.459,4.86%
"Aug 24, 2014","2,003.37",0.75%,2.345,-2.41%
"Aug 17, 2014","1,988.40",1.71%,2.403,2.65%
"Aug 10, 2014","1,955.06",1.22%,2.3409999999999997,-3.34%
"Aug 03, 2014","1,931.59",0.33%,2.4219999999999997,-2.89%
"Jul 27, 2014","1,925.15",-2.69%,2.494,1.09%
"Jul 20, 2014","1,978.34",0.01%,2.467,-0.60%
"Jul 13, 2014","1,978.22",0.54%,2.4819999999999998,-1.35%
"Jul 06, 2014","1,967.57",-0.90%,2.516,-4.73%
"Jun 29, 2014","1,985.44",1.25%,2.641,4.14%
"Jun 22, 2014","1,960.96",-0.10%,2.536,-2.76%
"Jun 15, 2014","1,962.87",1.38%,2.608,0.00%
"Jun 08, 2014","1,936.16",-0.68%,2.608,0.42%
"Jun 01, 2014","1,949.44",1.34%,2.597,4.93%
"May 25, 2014","1,923.57",1.21%,2.475,-2.41%
"May 18, 2014","1,900.53",1.21%,2.536,0.52%
"May 11, 2014","1,877.86",-0.03%,2.523,-3.81%
"May 04, 2014","1,878.48",-0.14%,2.623,1.43%
"Apr 27, 2014","1,881.14",0.95%,2.5860000000000003,-3.00%
"Apr 20, 2014","1,863.40",-0.08%,2.6660000000000004,-2.02%
"Apr 13, 2014","1,864.85",2.71%,2.721,3.54%
"Apr 06, 2014","1,815.69",-2.65%,2.628,-3.60%
"Mar 30, 2014","1,865.09",0.40%,2.7260000000000004,0.11%
"Mar 23, 2014","1,857.62",-0.48%,2.7230000000000003,-0.84%
"Mar 16, 2014","1,866.52",1.38%,2.7460000000000004,3.39%
"Mar 09, 2014","1,841.13",-1.97%,2.656,-4.80%
"Mar 02, 2014","1,878.04",1.00%,2.79,5.32%
"Feb 23, 2014","1,859.45",1.26%,2.6489999999999996,-3.04%
"Feb 16, 2014","1,836.25",-0.13%,2.7319999999999998,-0.47%
"Feb 09, 2014","1,838.63",2.32%,2.745,2.27%
"Feb 02, 2014","1,797.02",0.81%,2.6839999999999997,1.51%
"Jan 26, 2014","1,782.59",-0.43%,2.6439999999999997,-2.76%
"Jan 19, 2014","1,790.29",-2.63%,2.719,-3.62%
"Jan 12, 2014","1,838.70",-0.20%,2.821,-1.36%
"Jan 05, 2014","1,842.37",0.60%,2.86,-4.60%
"Dec 29, 2013","1,831.37",-0.54%,2.998,-0.13%
"Dec 22, 2013","1,841.40",1.27%,3.002,3.88%
"Dec 15, 2013","1,818.32",2.42%,2.89,0.84%
"Dec 08, 2013","1,775.32",-1.65%,2.866,0.32%
"Dec 01, 2013","1,805.09",-0.04%,2.8569999999999998,4.04%
"Nov 24, 2013","1,805.81",0.06%,2.7460000000000004,0.07%
"Nov 17, 2013","1,804.76",0.37%,2.7439999999999998,1.52%
"Nov 10, 2013","1,798.18",1.56%,2.7030000000000003,-1.74%
"Nov 03, 2013","1,770.61",0.51%,2.7510000000000003,5.00%
"Oct 27, 2013","1,761.64",0.11%,2.62,4.34%
"Oct 20, 2013","1,759.77",0.88%,2.511,-2.79%
"Oct 13, 2013","1,744.50",2.42%,2.583,-4.01%
"Oct 06, 2013","1,703.20",0.75%,2.6910000000000003,1.74%
"Sep 29, 2013","1,690.50",-0.07%,2.645,0.65%
"Sep 22, 2013","1,691.75",-1.06%,2.628,-3.95%
"Sep 15, 2013","1,709.91",1.30%,2.736,-5.33%
"Sep 08, 2013","1,687.99",1.98%,2.89,-1.50%
"Sep 01, 2013","1,655.17",1.36%,2.9339999999999997,5.20%
"Aug 25, 2013","1,632.97",-1.84%,2.7889999999999997,-1.03%
"Aug 18, 2013","1,663.50",0.46%,2.818,-0.25%
"Aug 11, 2013","1,655.83",-2.10%,2.825,9.50%
"Aug 04, 2013","1,691.42",-1.07%,2.58,-0.69%
"Jul 28, 2013","1,709.67",1.07%,2.5980000000000003,1.33%
"Jul 21, 2013","1,691.65",-0.03%,2.5639999999999996,3.30%
"Jul 14, 2013","1,692.09",0.71%,2.4819999999999998,-4.24%
"Jul 07, 2013","1,680.19",2.96%,2.592,-5.26%
"Jun 30, 2013","1,631.89",1.59%,2.736,10.01%
"Jun 23, 2013","1,606.28",0.87%,2.487,-2.16%
"Jun 16, 2013","1,592.43",-2.11%,2.542,19.34%
"Jun 09, 2013","1,626.73",-1.01%,2.13,-2.25%
"Jun 02, 2013","1,643.38",0.78%,2.1790000000000003,2.20%
"May 26, 2013","1,630.74",-1.14%,2.1319999999999997,6.02%
"May 19, 2013","1,649.60",-1.07%,2.011,2.92%
"May 12, 2013","1,667.47",2.07%,1.954,2.84%
"May 05, 2013","1,633.70",1.19%,1.9,9.20%
"Apr 28, 2013","1,614.42",2.03%,1.74,4.50%
"Apr 21, 2013","1,582.24",1.74%,1.665,-2.35%
"Apr 14, 2013","1,555.25",-2.11%,1.705,-0.93%
"Apr 07, 2013","1,588.85",2.29%,1.7209999999999999,0.41%
"Mar 31, 2013","1,553.28",-1.01%,1.714,-7.45%
"Mar 24, 2013","1,569.19",0.79%,1.8519999999999999,-3.89%
"Mar 17, 2013","1,556.89",-0.24%,1.9269999999999998,-3.21%
"Mar 10, 2013","1,560.70",0.61%,1.9909999999999999,-2.83%
"Mar 03, 2013","1,551.18",2.17%,2.049,11.06%
"Feb 24, 2013","1,518.20",0.17%,1.845,-5.96%
"Feb 17, 2013","1,515.60",-0.28%,1.962,-2.14%
"Feb 10, 2013","1,519.79",0.12%,2.005,2.82%
"Feb 03, 2013","1,517.93",0.31%,1.95,-3.70%
"Jan 27, 2013","1,513.17",0.68%,2.025,3.90%
"Jan 20, 2013","1,502.96",1.14%,1.949,5.92%
"Jan 13, 2013","1,485.98",0.95%,1.84,-1.39%
"Jan 06, 2013","1,472.05",0.38%,1.8659999999999999,-1.94%
"Dec 30, 2012","1,466.47",4.57%,1.903,11.88%
"Dec 23, 2012","1,402.43",-1.94%,1.7009999999999998,-3.90%
"Dec 16, 2012","1,430.15",1.17%,1.77,3.87%
"Dec 09, 2012","1,413.58",-0.32%,1.704,4.99%
"Dec 02, 2012","1,418.07",0.13%,1.6230000000000002,0.43%
"Nov 25, 2012","1,416.18",0.50%,1.6159999999999999,-4.55%
"Nov 18, 2012","1,409.15",3.62%,1.693,6.88%
"Nov 11, 2012","1,359.88",-1.45%,1.584,-1.80%
"Nov 04, 2012","1,379.85",-2.43%,1.6130000000000002,-6.06%
"Oct 28, 2012","1,414.20",0.16%,1.7169999999999999,-1.83%
"Oct 21, 2012","1,411.94",-1.48%,1.749,-0.96%
"Oct 14, 2012","1,433.19",0.32%,1.766,6.64%
"Oct 07, 2012","1,428.59",-2.21%,1.656,-4.39%
"Sep 30, 2012","1,460.93",1.41%,1.732,6.06%
"Sep 23, 2012","1,440.67",-1.33%,1.633,-6.90%
"Sep 16, 2012","1,460.15",-0.38%,1.754,-6.15%
"Sep 09, 2012","1,465.77",1.94%,1.869,12.05%
"Sep 02, 2012","1,437.92",2.23%,1.6680000000000001,7.75%
"Aug 26, 2012","1,406.58",-0.32%,1.548,-8.24%
"Aug 19, 2012","1,411.13",-0.50%,1.6869999999999998,-7.00%
"Aug 12, 2012","1,418.16",0.87%,1.814,9.34%
"Aug 05, 2012","1,405.87",1.07%,1.659,5.80%
"Jul 29, 2012","1,390.99",0.36%,1.568,1.49%
"Jul 22, 2012","1,385.97",1.71%,1.545,5.97%
"Jul 15, 2012","1,362.66",0.43%,1.4580000000000002,-2.21%
"Jul 08, 2012","1,356.78",0.16%,1.4909999999999999,-3.74%
"Jul 01, 2012","1,354.68",-0.55%,1.5490000000000002,-5.72%
"Jun 24, 2012","1,362.16",2.03%,1.643,-1.97%
"Jun 17, 2012","1,335.02",-0.58%,1.676,5.67%
"Jun 10, 2012","1,342.84",1.30%,1.5859999999999999,-2.82%
"Jun 03, 2012","1,325.66",3.73%,1.632,11.86%
"May 27, 2012","1,278.04",-3.02%,1.459,-16.44%
"May 20, 2012","1,317.82",1.74%,1.746,1.33%
"May 13, 2012","1,295.22",-4.30%,1.723,-6.41%
"May 06, 2012","1,353.39",-1.15%,1.841,-2.02%
"Apr 29, 2012","1,369.10",-2.44%,1.879,-2.99%
"Apr 22, 2012","1,403.36",1.80%,1.9369999999999998,-1.12%
"Apr 15, 2012","1,378.53",0.60%,1.959,-1.51%
"Apr 08, 2012","1,370.26",-1.99%,1.989,-2.83%
"Apr 01, 2012","1,398.08",-0.74%,2.0469999999999997,-7.54%
"Mar 25, 2012","1,408.47",0.81%,2.214,-0.85%
"Mar 18, 2012","1,397.11",-0.50%,2.233,-2.83%
"Mar 11, 2012","1,404.17",2.43%,2.298,13.20%
"Mar 04, 2012","1,370.87",0.09%,2.03,2.58%
"Feb 26, 2012","1,369.63",0.28%,1.979,0.10%
"Feb 19, 2012","1,365.74",0.33%,1.9769999999999999,-1.15%
"Feb 12, 2012","1,361.23",1.38%,2.0,0.81%
"Feb 05, 2012","1,342.64",-0.17%,1.984,3.12%
"Jan 29, 2012","1,344.90",2.17%,1.9240000000000002,1.75%
"Jan 22, 2012","1,316.33",0.07%,1.891,-6.62%
"Jan 15, 2012","1,315.38",2.04%,2.025,8.23%
"Jan 08, 2012","1,289.09",0.88%,1.871,-4.44%
"Jan 01, 2012","1,277.81",1.61%,1.9580000000000002,4.37%
"Dec 25, 2011","1,257.60",-0.61%,1.876,-7.17%
"Dec 18, 2011","1,265.33",3.74%,2.021,9.18%
"Dec 11, 2011","1,219.66",-2.83%,1.851,-10.28%
"Dec 04, 2011","1,255.19",0.88%,2.063,1.48%
"Nov 27, 2011","1,244.28",7.39%,2.033,3.46%
"Nov 20, 2011","1,158.67",-4.69%,1.965,-2.00%
"Nov 13, 2011","1,215.65",-3.81%,2.005,-2.53%
"Nov 06, 2011","1,263.85",0.85%,2.057,0.93%
"Oct 30, 2011","1,253.23",-2.48%,2.0380000000000003,-12.31%
"Oct 23, 2011","1,285.09",3.78%,2.324,4.87%
"Oct 16, 2011","1,238.25",1.12%,2.2159999999999997,-1.55%
"Oct 09, 2011","1,224.58",5.98%,2.251,8.48%
"Oct 02, 2011","1,155.46",2.12%,2.075,8.24%
"Sep 25, 2011","1,131.42",-0.44%,1.9169999999999998,4.75%
"Sep 18, 2011","1,136.43",-6.54%,1.83,-11.04%
"Sep 11, 2011","1,216.01",5.35%,2.057,7.42%
"Sep 04, 2011","1,154.23",-1.68%,1.915,-3.96%
"Aug 28, 2011","1,173.97",-0.24%,1.994,-8.95%
"Aug 21, 2011","1,176.80",4.74%,2.19,5.95%
"Aug 14, 2011","1,123.53",-4.69%,2.0669999999999997,-8.54%
"Aug 07, 2011","1,178.81",-1.72%,2.26,-11.82%
"Jul 31, 2011","1,199.38",-7.19%,2.563,-8.20%
"Jul 24, 2011","1,292.28",-3.92%,2.792,-5.80%
"Jul 17, 2011","1,345.02",2.19%,2.964,1.93%
"Jul 10, 2011","1,316.14",-2.06%,2.908,-4.03%
"Jul 03, 2011","1,343.80",0.31%,3.03,-4.78%
"Jun 26, 2011","1,339.67",5.61%,3.182,10.83%
"Jun 19, 2011","1,268.45",-0.24%,2.8710000000000004,-2.48%
"Jun 12, 2011","1,271.50",0.04%,2.944,-0.98%
"Jun 05, 2011","1,270.98",-2.24%,2.9730000000000003,-0.60%
"May 29, 2011","1,300.16",-2.32%,2.991,-2.64%
"May 22, 2011","1,331.10",-0.16%,3.072,-2.38%
"May 15, 2011","1,333.27",-0.34%,3.147,-0.69%
"May 08, 2011","1,337.78",-0.18%,3.1689999999999996,0.60%
"May 01, 2011","1,340.20",-1.72%,3.15,-4.26%
"Apr 24, 2011","1,363.61",1.96%,3.29,-3.06%
"Apr 17, 2011","1,337.38",1.34%,3.3939999999999997,-0.56%
"Apr 10, 2011","1,319.68",-0.64%,3.4130000000000003,-4.74%
"Apr 03, 2011","1,328.17",-0.32%,3.583,3.86%
"Mar 27, 2011","1,332.41",1.42%,3.45,0.23%
"Mar 20, 2011","1,313.80",2.70%,3.4419999999999997,5.32%
"Mar 13, 2011","1,279.20",-1.92%,3.2680000000000002,-3.94%
"Mar 06, 2011","1,304.28",-1.28%,3.4019999999999997,-2.58%
"Feb 27, 2011","1,321.15",0.10%,3.492,2.22%
"Feb 20, 2011","1,319.88",-1.53%,3.4160000000000004,-4.63%
"Feb 13, 2011","1,340.43",0.85%,3.582,-1.54%
"Feb 06, 2011","1,329.15",1.39%,3.638,0.00%
"Jan 30, 2011","1,310.87",2.71%,3.638,9.28%
"Jan 23, 2011","1,276.34",-0.55%,3.3289999999999997,-2.32%
"Jan 16, 2011","1,283.35",-0.76%,3.408,2.31%
"Jan 09, 2011","1,293.24",1.71%,3.3310000000000004,0.09%
"Jan 02, 2011","1,271.50",1.10%,3.3280000000000003,1.22%
"Dec 26, 2010","1,257.64",0.07%,3.2880000000000003,-3.21%
"Dec 19, 2010","1,256.77",1.03%,3.397,1.95%
