"Date","Price","Open","High","Low","Change %"
"Dec 30, 2018","2.668","2.730","2.745","2.543","-1.77%"
"Dec 23, 2018","2.716","2.826","2.826","2.713","-2.58%"
"Dec 16, 2018","2.788","2.895","2.898","2.748","-3.70%"
"Dec 09, 2018","2.895","2.829","2.918","2.825","1.29%"
"Dec 02, 2018","2.858","3.037","3.050","2.826","-4.51%"
"Nov 25, 2018","2.993","3.050","3.079","2.988","-1.74%"
"Nov 18, 2018","3.046","3.057","3.096","3.032","-0.62%"
"Nov 11, 2018","3.065","3.151","3.176","3.065","-3.80%"
"Nov 04, 2018","3.186","3.208","3.250","3.176","-1.06%"
"Oct 28, 2018","3.220","3.081","3.224","3.059","4.65%"
"Oct 21, 2018","3.077","3.192","3.209","3.057","-3.72%"
"Oct 14, 2018","3.196","3.158","3.217","3.142","0.92%"
"Oct 07, 2018","3.167","3.231","3.261","3.124","-2.04%"
"Sep 30, 2018","3.233","3.067","3.248","3.046","5.48%"
"Sep 23, 2018","3.065","3.098","3.113","3.026","-0.07%"
"Sep 16, 2018","3.067","2.990","3.096","2.977","2.27%"
"Sep 09, 2018","2.999","2.944","3.003","2.930","2.04%"
"Sep 02, 2018","2.939","2.860","2.950","2.855","2.76%"
"Aug 26, 2018","2.860","2.821","2.898","2.815","1.67%"
"Aug 19, 2018","2.813","2.866","2.869","2.808","-1.78%"
"Aug 12, 2018","2.864","2.866","2.902","2.837","-0.31%"
"Aug 05, 2018","2.873","2.956","2.986","2.853","-2.64%"
"Jul 29, 2018","2.951","2.962","3.016","2.934","-0.24%"
"Jul 22, 2018","2.958","2.895","2.988","2.882","2.18%"
"Jul 15, 2018","2.895","2.823","2.899","2.823","2.33%"
"Jul 08, 2018","2.829","2.829","2.875","2.825","0.18%"
"Jul 01, 2018","2.824","2.858","2.884","2.807","-1.26%"
"Jun 24, 2018","2.860","2.893","2.900","2.822","-1.21%"
"Jun 17, 2018","2.895","2.922","2.950","2.853","-0.92%"
"Jun 10, 2018","2.922","2.952","3.010","2.889","-0.88%"
"Jun 03, 2018","2.948","2.908","2.994","2.884","1.59%"
"May 27, 2018","2.902","2.900","2.926","2.759","-0.99%"
"May 20, 2018","2.931","3.080","3.084","2.922","-4.22%"
"May 13, 2018","3.060","2.975","3.128","2.959","3.03%"
"May 06, 2018","2.970","2.951","3.014","2.937","0.64%"
"Apr 29, 2018","2.951","2.966","2.996","2.911","-0.27%"
"Apr 22, 2018","2.959","2.968","3.035","2.955","-0.03%"
"Apr 15, 2018","2.960","2.841","2.962","2.814","4.78%"
"Apr 08, 2018","2.825","2.786","2.849","2.755","1.80%"
"Apr 01, 2018","2.775","2.759","2.838","2.717","1.24%"
"Mar 25, 2018","2.741","2.819","2.859","2.739","-2.56%"
"Mar 18, 2018","2.813","2.857","2.936","2.792","-1.12%"
"Mar 11, 2018","2.845","2.905","2.910","2.797","-1.76%"
"Mar 04, 2018","2.896","2.850","2.914","2.810","0.98%"
"Feb 25, 2018","2.868","2.875","2.925","2.793","0.07%"
"Feb 18, 2018","2.866","2.891","2.957","2.861","-0.24%"
"Feb 11, 2018","2.873","2.902","2.944","2.808","0.56%"
"Feb 04, 2018","2.857","2.847","2.885","2.648","0.56%"
"Jan 28, 2018","2.841","2.658","2.854","2.654","6.80%"
"Jan 21, 2018","2.660","2.661","2.676","2.609","-0.04%"
"Jan 14, 2018","2.661","2.553","2.663","2.522","4.35%"
"Jan 07, 2018","2.550","2.480","2.597","2.462","2.99%"
"Dec 31, 2017","2.476","2.429","2.487","2.416","2.95%"
"Dec 24, 2017","2.405","2.492","2.497","2.405","-3.22%"
"Dec 17, 2017","2.485","2.369","2.504","2.364","5.70%"
"Dec 10, 2017","2.351","2.383","2.426","2.344","-1.14%"
"Dec 03, 2017","2.378","2.421","2.421","2.314","0.63%"
"Nov 26, 2017","2.363","2.342","2.437","2.310","0.98%"
"Nov 19, 2017","2.340","2.340","2.375","2.319","-0.21%"
"Nov 12, 2017","2.345","2.400","2.414","2.319","-2.37%"
"Nov 05, 2017","2.402","2.345","2.405","2.304","2.96%"
"Oct 29, 2017","2.333","2.403","2.414","2.323","-3.44%"
"Oct 22, 2017","2.416","2.394","2.477","2.363","1.38%"
"Oct 15, 2017","2.383","2.289","2.392","2.278","4.75%"
"Oct 08, 2017","2.275","2.362","2.372","2.273","-3.64%"
"Oct 01, 2017","2.361","2.344","2.402","2.300","0.94%"
"Sep 24, 2017","2.339","2.260","2.359","2.214","3.82%"
"Sep 17, 2017","2.253","2.207","2.289","2.207","2.32%"
"Sep 10, 2017","2.202","2.089","2.225","2.084","7.21%"
"Sep 03, 2017","2.054","2.134","2.148","2.016","-5.17%"
"Aug 27, 2017","2.166","2.176","2.180","2.086","-0.14%"
"Aug 20, 2017","2.169","2.208","2.224","2.162","-1.27%"
"Aug 13, 2017","2.197","2.197","2.285","2.162","0.27%"
"Aug 06, 2017","2.191","2.271","2.290","2.182","-3.22%"
"Jul 30, 2017","2.264","2.282","2.321","2.218","-1.18%"
"Jul 23, 2017","2.291","2.230","2.337","2.229","2.41%"
"Jul 16, 2017","2.237","2.328","2.335","2.225","-4.07%"
"Jul 09, 2017","2.332","2.387","2.395","2.279","-2.26%"
"Jul 02, 2017","2.386","2.314","2.398","2.289","3.56%"
"Jun 25, 2017","2.304","2.144","2.309","2.121","7.46%"
"Jun 18, 2017","2.144","2.158","2.197","2.139","-0.42%"
"Jun 11, 2017","2.153","2.213","2.227","2.103","-2.23%"
"Jun 04, 2017","2.202","2.161","2.228","2.129","1.99%"
"May 28, 2017","2.159","2.245","2.248","2.144","-4.04%"
"May 21, 2017","2.250","2.245","2.297","2.226","0.67%"
"May 14, 2017","2.235","2.326","2.361","2.181","-3.91%"
"May 07, 2017","2.326","2.361","2.423","2.322","-1.02%"
"Apr 30, 2017","2.350","2.282","2.381","2.279","2.66%"
"Apr 23, 2017","2.289","2.314","2.350","2.266","1.91%"
"Apr 16, 2017","2.246","2.200","2.260","2.165","0.63%"
"Apr 09, 2017","2.232","2.384","2.395","2.218","-6.30%"
"Apr 02, 2017","2.382","2.396","2.405","2.269","-0.29%"
"Mar 26, 2017","2.389","2.382","2.431","2.348","-1.20%"
"Mar 19, 2017","2.418","2.508","2.513","2.375","-3.32%"
"Mar 12, 2017","2.501","2.584","2.629","2.486","-2.87%"
"Mar 05, 2017","2.575","2.474","2.624","2.457","3.75%"
"Feb 26, 2017","2.482","2.324","2.521","2.317","7.21%"
"Feb 19, 2017","2.315","2.436","2.461","2.310","-4.34%"
"Feb 12, 2017","2.420","2.423","2.524","2.400","0.46%"
"Feb 05, 2017","2.409","2.472","2.472","2.325","-2.35%"
"Jan 29, 2017","2.467","2.479","2.518","2.428","-0.76%"
"Jan 22, 2017","2.486","2.441","2.555","2.381","0.77%"
"Jan 15, 2017","2.467","2.376","2.513","2.305","2.88%"
"Jan 08, 2017","2.398","2.443","2.443","2.307","-0.95%"
"Jan 01, 2017","2.421","2.439","2.518","2.334","-1.02%"
"Dec 25, 2016","2.446","2.554","2.576","2.431","-3.81%"
"Dec 18, 2016","2.543","2.582","2.595","2.526","-2.15%"
"Dec 11, 2016","2.599","2.489","2.641","2.422","5.39%"
"Dec 04, 2016","2.466","2.363","2.478","2.340","3.09%"
"Nov 27, 2016","2.392","2.339","2.492","2.291","1.40%"
"Nov 20, 2016","2.359","2.353","2.417","2.287","0.47%"
"Nov 13, 2016","2.348","2.171","2.364","2.168","9.82%"
"Nov 06, 2016","2.138","1.831","2.154","1.716","20.25%"
"Oct 30, 2016","1.778","1.840","1.879","1.769","-3.84%"
"Oct 23, 2016","1.849","1.742","1.879","1.724","6.51%"
"Oct 16, 2016","1.736","1.789","1.814","1.724","-3.82%"
"Oct 09, 2016","1.805","1.767","1.805","1.727","4.76%"
"Oct 02, 2016","1.723","1.600","1.771","1.593","7.82%"
"Sep 25, 2016","1.598","1.617","1.620","1.536","-1.36%"
"Sep 18, 2016","1.620","1.693","1.738","1.606","-4.37%"
"Sep 11, 2016","1.694","1.668","1.752","1.637","1.13%"
"Sep 04, 2016","1.675","1.609","1.678","1.519","4.23%"
"Aug 28, 2016","1.607","1.626","1.626","1.543","-1.29%"
"Aug 21, 2016","1.628","1.597","1.635","1.527","3.04%"
"Aug 14, 2016","1.580","1.512","1.594","1.498","4.64%"
"Aug 07, 2016","1.510","1.595","1.616","1.480","-5.03%"
"Jul 31, 2016","1.590","1.463","1.592","1.463","9.66%"
"Jul 24, 2016","1.450","1.571","1.592","1.450","-7.41%"
"Jul 17, 2016","1.566","1.575","1.628","1.537","0.51%"
"Jul 10, 2016","1.558","1.366","1.601","1.358","14.73%"
"Jul 03, 2016","1.358","1.439","1.442","1.321","-6.73%"
"Jun 26, 2016","1.456","1.507","1.546","1.382","-6.79%"
"Jun 19, 2016","1.562","1.656","1.749","1.406","-3.04%"
"Jun 12, 2016","1.611","1.625","1.640","1.518","-2.01%"
"Jun 05, 2016","1.644","1.704","1.744","1.627","-3.41%"
"May 29, 2016","1.702","1.860","1.890","1.697","-8.05%"
"May 22, 2016","1.851","1.838","1.882","1.818","0.38%"
"May 15, 2016","1.844","1.702","1.887","1.700","8.34%"
"May 08, 2016","1.702","1.789","1.793","1.700","-4.33%"
