Date,Open,High,Low,Close,Currency
2010-01-01,1.6159,1.617,1.6147,1.617,USD
2010-01-04,1.6127,1.6242,1.6059,1.6097,USD
2010-01-05,1.6092,1.6156,1.5967,1.5998,USD
2010-01-06,1.5991,1.6065,1.5938,1.6025,USD
2010-01-07,1.6011,1.606,1.5894,1.5935,USD
2010-01-08,1.5934,1.6111,1.5914,1.6028,USD
2010-01-11,1.6071,1.6195,1.6047,1.6104,USD
2010-01-12,1.6109,1.6197,1.6063,1.6176,USD
2010-01-13,1.6162,1.6309,1.6136,1.6288,USD
2010-01-14,1.6283,1.6348,1.6248,1.6333,USD
2010-01-15,1.6334,1.6355,1.621,1.6263,USD
2010-01-18,1.6255,1.638,1.625,1.6332,USD
2010-01-19,1.6331,1.6458,1.6311,1.637,USD
2010-01-20,1.6366,1.6374,1.6243,1.6283,USD
2010-01-21,1.6295,1.6314,1.6125,1.6199,USD
2010-01-22,1.6195,1.6287,1.6078,1.611,USD
2010-01-25,1.6111,1.6261,1.6089,1.6241,USD
2010-01-26,1.624,1.6269,1.6094,1.6143,USD
2010-01-27,1.6145,1.6246,1.6107,1.6162,USD
2010-01-28,1.617,1.6278,1.6113,1.6125,USD
2010-01-29,1.6136,1.618,1.5981,1.6004,USD
2010-02-01,1.5947,1.598,1.585,1.5956,USD
2010-02-02,1.5956,1.5998,1.5903,1.5976,USD
2010-02-03,1.5971,1.6071,1.5886,1.5898,USD
2010-02-04,1.5882,1.592,1.573,1.5751,USD
2010-02-05,1.5756,1.5777,1.556,1.5635,USD
2010-02-08,1.5592,1.5662,1.5535,1.5599,USD
2010-02-09,1.5583,1.5749,1.5562,1.5706,USD
2010-02-10,1.5715,1.5766,1.557,1.5583,USD
2010-02-11,1.559,1.572,1.5558,1.5695,USD
2010-02-12,1.5702,1.5742,1.558,1.5689,USD
2010-02-15,1.5679,1.5722,1.5611,1.5658,USD
2010-02-16,1.5657,1.5798,1.5627,1.5787,USD
2010-02-17,1.5787,1.5818,1.5667,1.5672,USD
2010-02-18,1.567,1.5688,1.5555,1.5627,USD
2010-02-19,1.5539,1.5551,1.5347,1.5474,USD
2010-02-22,1.5476,1.5521,1.5431,1.5483,USD
2010-02-23,1.5479,1.5576,1.5393,1.5414,USD
2010-02-24,1.5425,1.5478,1.5387,1.5404,USD
2010-02-25,1.5408,1.5421,1.5188,1.5268,USD
2010-02-26,1.5266,1.5321,1.5151,1.525,USD
2010-03-01,1.5159,1.5205,1.4782,1.4991,USD
2010-03-02,1.4987,1.5001,1.4855,1.4962,USD
2010-03-03,1.4973,1.5132,1.4958,1.5105,USD
2010-03-04,1.5098,1.5138,1.5005,1.5033,USD
2010-03-05,1.5036,1.5168,1.4994,1.5137,USD
2010-03-08,1.5137,1.5198,1.5032,1.5063,USD
2010-03-09,1.5067,1.5069,1.4937,1.5001,USD
2010-03-10,1.4996,1.5018,1.4873,1.4983,USD
2010-03-11,1.4975,1.5067,1.4945,1.5061,USD
2010-03-12,1.5063,1.5219,1.5025,1.5185,USD
2010-03-15,1.5174,1.5208,1.5019,1.5053,USD
2010-03-16,1.5053,1.5262,1.4978,1.5246,USD
2010-03-17,1.5252,1.5383,1.521,1.5324,USD
2010-03-18,1.5318,1.533,1.5215,1.5246,USD
2010-03-19,1.5244,1.5258,1.499,1.5012,USD
2010-03-22,1.4991,1.5107,1.4933,1.5099,USD
2010-03-23,1.5108,1.5115,1.4973,1.5041,USD
2010-03-24,1.5038,1.5043,1.4854,1.487,USD
2010-03-25,1.4874,1.4989,1.48,1.4811,USD
2010-03-26,1.4813,1.4926,1.4806,1.4903,USD
2010-03-29,1.4949,1.5022,1.4893,1.4988,USD
2010-03-30,1.4984,1.5128,1.4975,1.5069,USD
2010-03-31,1.5071,1.5206,1.5044,1.5185,USD
2010-04-01,1.5183,1.5305,1.5173,1.5293,USD
2010-04-02,1.5291,1.5297,1.518,1.5209,USD
